Internet access state,Device Type,Client Name,Client IP address,IP Method,Clients MAC Address,Interface,Tx Rate,Rx Rate,Access time
Allow Internet access,"Tuya Smart Inc.","Tuya Smart Inc.",offline,Static IP,10:5A:17:7F:B2:99,Wired,-,-,-
Allow Internet access,"Tuya Smart Inc.","Tuya Smart Inc.",offline,Static IP,10:5A:17:7F:B6:F2,Wired,-,-,-
Allow Internet access,"android-dhcp-15","android-dhcp-15",offline,Static IP,C6:04:61:4D:D1:B5,Wired,-,-,-
Allow Internet access,"android-dhcp-10","android-dhcp-10",offline,Static IP,00:0A:F5:26:C7:9C,Wired,-,-,-
Allow Internet access,"Chengdu Meross Technology Co. Ltd.","Chengdu Meross Technology Co.,",offline,Static IP,48:E1:E9:E3:5A:AD,Wired,-,-,-
Allow Internet access,"android-dhcp-16","android-dhcp-16",offline,Static IP,D2:FF:F1:D1:A5:C1,Wired,-,-,-
Allow Internet access,"android-dhcp-14","android-dhcp-14",offline,Static IP,BC:DF:58:66:44:32,Wired,-,-,-
Allow Internet access,"Others","lappy",offline,Static IP,4A:E9:3F:EC:D0:0D,Wired,-,-,-
Allow Internet access,"MSFT 5.0","Stephanie",offline,Static IP,60:FF:9E:1C:04:70,Wired,-,-,-
Allow Internet access,"android-dhcp-14","android-dhcp-14",offline,Static IP,3A:CA:C0:17:83:44,Wired,-,-,-
Allow Internet access,"android-dhcp-14","android-dhcp-14",offline,Static IP,4A:83:BB:B8:75:DF,Wired,-,-,-
Allow Internet access,"android-dhcp-15","My-Info-s-Tab-A9",offline,Static IP,E2:3C:3E:70:40:F3,Wired,-,-,-
Allow Internet access,"android-dhcp-7.1.2","android-dhcp-7.1.2",offline,Static IP,10:09:F9:F9:D8:13,Wired,-,-,-
Allow Internet access,"android-dhcp-12","android-dhcp-12",offline,Static IP,D0:65:B3:95:07:EB,Wired,-,-,-
Allow Internet access,"android-dhcp-16","android-dhcp-16",offline,Static IP,CE:97:84:41:22:C6,Wired,-,-,-
Allow Internet access,"android-dhcp-16","android-dhcp-16",offline,Static IP,56:0F:90:AB:80:FB,Wired,-,-,-
Allow Internet access,"android-dhcp-16","android-dhcp-16",offline,Static IP,D6:C2:C3:93:C2:16,Wired,-,-,-
Allow Internet access,"android-dhcp-16","android-dhcp-16",offline,Static IP,E2:5E:2E:76:81:FE,Wired,-,-,-
Allow Internet access,"android-dhcp-14","android-dhcp-14",offline,Static IP,86:9C:ED:31:13:D7,Wired,-,-,-
Allow Internet access,"MSFT 5.0","DESKTOP-U72LEIG",offline,Static IP,98:5F:D3:3E:13:F7,Wired,-,-,-
Allow Internet access,"android-dhcp-14","android-dhcp-14",offline,Static IP,AA:BC:3B:5E:84:49,Wired,-,-,-
Allow Internet access,"android-dhcp-15","android-dhcp-15",offline,Static IP,66:D6:D7:AC:93:D5,Wired,-,-,-
Allow Internet access,"MSFT 5.0","DESKTOP-HVF15DU",offline,Static IP,44:AF:28:4E:B4:57,Wired,-,-,-
Allow Internet access,"android-dhcp-12","android-dhcp-12",offline,Static IP,B0:6B:11:78:AA:08,Wired,-,-,-
Allow Internet access,"android-dhcp-10","android-dhcp-10",offline,Static IP,84:B8:B8:7E:14:08,Wired,-,-,-
Allow Internet access,"android-dhcp-15","android-dhcp-15",offline,Static IP,12:BF:B8:A0:81:80,Wired,-,-,-
Allow Internet access,"Others","lappy",offline,Static IP,5E:F5:24:50:B9:F4,Wired,-,-,-
Allow Internet access,"android-dhcp-16","android-dhcp-16",offline,Static IP,4E:86:22:C3:60:99,Wired,-,-,-
Allow Internet access,"Loading manufacturer..","RT-BE92U",offline,Static IP,60:CF:84:3A:B3:40,Wired,-,-,-
